epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.213,1.68113,3.75582,2.08761,0.15539,0.12956,0.08452,0.03428,2.4918,3.32723,3.40567,0.000662577,0.000662577,0.000662577
2,107.736,1.83176,2.60565,2.31976,0.49453,0.2211,0.20593,0.11894,2.80244,4.4177,3.38301,0.00131608,0.00131608,0.00131608
3,157.611,2.15544,2.80764,2.67096,0.21169,0.12645,0.08357,0.03166,2.96146,4.8942,3.4866,0.00195639,0.00195639,0.00195639
4,207.571,2.1569,2.77541,2.74073,0.29025,0.05741,0.0477,0.01991,2.96193,4.01738,3.39273,0.0019406,0.0019406,0.0019406
5,257.916,2.14811,3.03097,2.75204,0.08839,0.1218,0.03842,0.01221,2.74802,5.74502,3.16554,0.0019208,0.0019208,0.0019208
6,306.562,2.1422,3.06703,2.71999,0.10782,0.15516,0.06398,0.01984,2.55184,3.19672,2.875,0.001901,0.001901,0.001901
7,355.668,2.06483,2.92811,2.64521,0.1072,0.11327,0.04126,0.0161,2.57762,14.972,3.05532,0.0018812,0.0018812,0.0018812
8,404.125,1.95367,2.71885,2.52873,0.32351,0.16214,0.15499,0.07198,2.05329,3.69848,2.48641,0.0018614,0.0018614,0.0018614
9,453.099,1.92929,2.51402,2.47604,0.41634,0.17455,0.19737,0.09118,2.24861,3.08442,2.57123,0.0018416,0.0018416,0.0018416
10,502.394,1.92942,2.51624,2.44984,0.5242,0.15749,0.1762,0.0957,2.20525,12.6277,2.75625,0.0018218,0.0018218,0.0018218
11,554.141,1.83534,2.36864,2.40166,0.65016,0.23357,0.32593,0.1786,1.92066,2.46962,2.29341,0.001802,0.001802,0.001802
12,605.037,1.8198,2.26389,2.36061,0.47209,0.40962,0.40019,0.22113,1.83599,2.24832,2.28478,0.0017822,0.0017822,0.0017822
13,654.609,1.7767,2.14528,2.29207,0.56352,0.37781,0.42853,0.23035,1.83323,2.56134,2.24726,0.0017624,0.0017624,0.0017624
