epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6782,0.95642,3.31864,1.37868,1,0.32239,0.63823,0.46823,1.07603,2.80377,1.61483,0.000546704,0.000546704,0.000546704
2,42.3902,1.03412,2.41997,1.42919,0.84764,0.78237,0.86167,0.58409,1.08324,1.63179,1.50493,0.00109146,0.00109146,0.00109146
3,59.5991,1.05594,1.95333,1.4545,0.49752,0.18733,0.23642,0.14221,1.95348,3.16367,2.724,0.00162521,0.00162521,0.00162521
4,76.8441,1.07496,1.54486,1.46255,0.50188,0.58288,0.48836,0.29121,1.30926,2.2825,1.72695,0.00161749,0.00161749,0.00161749
5,94.2441,1.08647,1.29572,1.4356,0.89971,0.84022,0.87516,0.6059,1.1528,1.02071,1.54676,0.00160099,0.00160099,0.00160099
6,111.281,1.01358,0.98436,1.38904,0.9424,0.88981,0.93112,0.64656,1.08653,0.82143,1.49861,0.00158448,0.00158448,0.00158448
7,128.174,1.00345,0.87861,1.38095,0.94741,0.87328,0.92834,0.64483,1.08906,0.79725,1.4678,0.00156798,0.00156798,0.00156798
8,145.135,1.10574,0.83808,1.44336,0.88151,0.7686,0.86252,0.58767,1.15557,0.9782,1.57046,0.00155148,0.00155148,0.00155148
9,162.102,1.00175,0.72674,1.36296,0.99395,0.90527,0.93995,0.69813,1.00066,0.6475,1.36936,0.00153497,0.00153497,0.00153497
10,179.045,0.96186,0.69606,1.33544,0.96123,0.88705,0.94526,0.69198,0.9443,0.67286,1.32986,0.00151847,0.00151847,0.00151847
11,195.787,0.96602,0.65261,1.33658,0.90645,0.7438,0.83566,0.60822,1.11501,0.94873,1.51228,0.00150197,0.00150197,0.00150197
12,212.811,0.96158,0.63942,1.32114,0.94734,0.892,0.93953,0.70888,0.95674,0.71061,1.33212,0.00148546,0.00148546,0.00148546
13,230.002,0.94534,0.60703,1.30936,0.97514,0.91185,0.9635,0.72609,0.90383,0.57152,1.29175,0.00146896,0.00146896,0.00146896
14,247.54,0.94726,0.57639,1.30155,0.97856,0.88005,0.94458,0.69758,0.9905,0.64036,1.36038,0.00145246,0.00145246,0.00145246
15,264.83,0.89962,0.54849,1.26919,0.98235,0.93113,0.97576,0.75313,0.88981,0.53042,1.27688,0.00143595,0.00143595,0.00143595
16,281.743,0.89465,0.54966,1.2744,0.96187,0.91185,0.95655,0.72878,0.90179,0.62782,1.30611,0.00141945,0.00141945,0.00141945
17,298.647,0.8723,0.51403,1.27641,0.98528,0.92177,0.96388,0.7407,0.90731,0.53094,1.30127,0.00140295,0.00140295,0.00140295
18,315.496,0.88986,0.511,1.28225,0.9852,0.9169,0.96997,0.73386,0.92061,0.53802,1.30808,0.00138644,0.00138644,0.00138644
19,332.423,0.88218,0.49317,1.25249,0.97092,0.91975,0.96579,0.7391,0.90685,0.55216,1.2966,0.00136994,0.00136994,0.00136994
20,349.292,0.83438,0.46701,1.22468,0.99348,0.93113,0.96656,0.76361,0.85634,0.50906,1.24569,0.00135344,0.00135344,0.00135344
21,366.227,0.8731,0.50075,1.25132,0.9911,0.92007,0.96824,0.7456,0.8821,0.5381,1.28847,0.00133693,0.00133693,0.00133693
22,383.113,0.86323,0.46537,1.24972,0.99391,0.89977,0.95622,0.72381,0.91194,0.56537,1.29888,0.00132043,0.00132043,0.00132043
23,400.143,0.84968,0.46836,1.24063,0.97336,0.93939,0.97157,0.74905,0.86814,0.48116,1.26003,0.00130393,0.00130393,0.00130393
24,417.466,0.88726,0.46128,1.25204,0.99738,0.92011,0.96632,0.75312,0.87314,0.49519,1.25795,0.00128742,0.00128742,0.00128742
25,434.934,0.84669,0.43985,1.21672,0.96337,0.94185,0.9678,0.74737,0.85921,0.50485,1.24498,0.00127092,0.00127092,0.00127092
26,451.936,0.92962,0.4883,1.2679,0.97621,0.90435,0.95747,0.68135,1.07075,0.59868,1.41101,0.00125442,0.00125442,0.00125442
27,468.731,0.95039,0.50227,1.27448,0.98195,0.93388,0.97402,0.71808,1.00437,0.54062,1.35162,0.00123791,0.00123791,0.00123791
28,485.641,0.90197,0.47098,1.25805,0.98269,0.93811,0.97118,0.72255,0.94673,0.54871,1.3166,0.00122141,0.00122141,0.00122141
29,502.662,0.89559,0.46022,1.24312,0.98535,0.92661,0.96934,0.7358,0.91454,0.52965,1.27605,0.00120491,0.00120491,0.00120491
30,519.487,0.88109,0.44407,1.26371,0.98861,0.89532,0.96443,0.71571,0.98945,0.55031,1.34907,0.0011884,0.0011884,0.0011884
31,536.423,0.90477,0.46724,1.2707,0.97922,0.90867,0.95557,0.72194,0.95088,0.57626,1.32199,0.0011719,0.0011719,0.0011719
32,553.258,0.84577,0.44002,1.22309,0.99421,0.94683,0.97942,0.73503,0.92711,0.49907,1.29637,0.0011554,0.0011554,0.0011554
33,570.068,0.82353,0.4131,1.20893,0.98274,0.94135,0.98159,0.73943,0.94742,0.45534,1.30253,0.00113889,0.00113889,0.00113889
34,587.031,0.8391,0.41821,1.21153,0.98389,0.95317,0.98105,0.7533,0.8896,0.4748,1.26395,0.00112239,0.00112239,0.00112239
35,604.429,0.82183,0.41019,1.19763,0.98755,0.87399,0.93754,0.69596,1.02173,0.62799,1.37693,0.00110589,0.00110589,0.00110589
36,621.242,0.81743,0.40805,1.2142,0.98567,0.94767,0.97765,0.76299,0.86877,0.46262,1.2448,0.00108938,0.00108938,0.00108938
37,638.132,0.8103,0.39456,1.18707,0.99688,0.90909,0.95886,0.73496,0.93727,0.50942,1.33765,0.00107288,0.00107288,0.00107288
38,655.095,0.79917,0.37953,1.18573,0.98826,0.93113,0.96955,0.74456,0.90889,0.49128,1.26748,0.00105638,0.00105638,0.00105638
39,671.985,0.8034,0.38229,1.19452,0.98837,0.93631,0.97971,0.7647,0.84386,0.47668,1.22936,0.00103987,0.00103987,0.00103987
40,688.938,0.7936,0.38968,1.17328,0.99499,0.92287,0.97006,0.76845,0.8213,0.46056,1.22601,0.00102337,0.00102337,0.00102337
