epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.755,0.95642,3.31864,1.37868,1,0.32239,0.63823,0.46823,1.07603,2.80377,1.61483,0.000546704,0.000546704,0.000546704
2,40.656,1.03477,2.43144,1.42247,0.83388,0.74674,0.83928,0.53925,1.13826,1.79054,1.53166,0.00108054,0.00108054,0.00108054
3,57.735,1.08381,2.01447,1.45546,0.80349,0.64205,0.72334,0.50133,1.17742,1.70051,1.63096,0.00159238,0.00159238,0.00159238
4,74.462,1.05836,1.49651,1.44429,0.9087,0.79512,0.86707,0.59043,1.13899,1.1126,1.54825,0.00156798,0.00156798,0.00156798
5,91.163,1.03919,1.17886,1.40846,0.97574,0.88624,0.93003,0.68886,0.99631,1.03355,1.42199,0.00153497,0.00153497,0.00153497
6,107.622,1.0225,0.97316,1.38731,0.89455,0.88806,0.91932,0.63575,1.05776,0.84443,1.46115,0.00150197,0.00150197,0.00150197
7,124.161,1.03798,0.89217,1.40538,0.95838,0.87603,0.93564,0.68582,0.97651,0.6903,1.363,0.00146896,0.00146896,0.00146896
8,140.625,0.99365,0.76099,1.3571,0.94864,0.8142,0.86626,0.62917,1.09483,0.87248,1.50798,0.00143595,0.00143595,0.00143595
9,157.178,1.00536,0.74797,1.36503,0.93596,0.88582,0.93015,0.67852,0.97308,0.74319,1.38603,0.00140295,0.00140295,0.00140295
10,173.558,0.94114,0.69699,1.32315,0.94398,0.882,0.93,0.68778,0.97769,0.72914,1.37056,0.00136994,0.00136994,0.00136994
11,190.047,0.9532,0.66523,1.3382,0.98263,0.93508,0.97271,0.72758,0.90935,0.55401,1.28796,0.00133693,0.00133693,0.00133693
12,206.901,0.9349,0.62048,1.29993,0.97931,0.91266,0.96543,0.72949,0.93808,0.58492,1.31294,0.00130393,0.00130393,0.00130393
13,223.7,0.89625,0.60406,1.2719,0.96853,0.93268,0.97338,0.7567,0.86608,0.50934,1.24711,0.00127092,0.00127092,0.00127092
14,240.199,0.87568,0.55522,1.24699,0.94046,0.91374,0.961,0.72265,0.91382,0.60559,1.30964,0.00123791,0.00123791,0.00123791
15,256.692,0.87543,0.54855,1.25382,0.97921,0.90812,0.958,0.73483,0.90958,0.5538,1.3169,0.00120491,0.00120491,0.00120491
16,273.254,0.87913,0.5312,1.25709,0.9894,0.93388,0.97504,0.75097,0.87507,0.53143,1.27318,0.0011719,0.0011719,0.0011719
17,289.832,0.85391,0.5006,1.25722,0.97975,0.93314,0.9693,0.74187,0.91095,0.5311,1.29358,0.00113889,0.00113889,0.00113889
18,306.294,0.86423,0.50235,1.26117,0.98242,0.92361,0.96895,0.7426,0.92408,0.53187,1.30622,0.00110589,0.00110589,0.00110589
19,322.852,0.87193,0.47946,1.23559,0.97898,0.94215,0.97886,0.75406,0.87644,0.47614,1.26007,0.00107288,0.00107288,0.00107288
20,339.405,0.85958,0.4443,1.24016,0.99131,0.94289,0.97782,0.73011,0.90578,0.50217,1.27219,0.00103987,0.00103987,0.00103987
21,356.126,0.87257,0.47811,1.24872,0.98808,0.91353,0.97313,0.73838,0.92663,0.50039,1.28299,0.00100687,0.00100687,0.00100687
22,372.652,0.92436,0.49169,1.28373,0.98525,0.91996,0.97467,0.70107,1.03942,0.56057,1.38487,0.000973861,0.000973861,0.000973861
23,389.179,0.89998,0.48563,1.2669,0.98801,0.90818,0.97326,0.71041,1.01357,0.53387,1.35583,0.000940855,0.000940855,0.000940855
24,405.641,0.90975,0.48372,1.27032,0.99256,0.94766,0.9757,0.73426,0.93102,0.48777,1.28523,0.000907848,0.000907848,0.000907848
25,422.142,0.85958,0.43289,1.21807,0.97617,0.95317,0.98077,0.71827,0.98151,0.50165,1.328,0.000874842,0.000874842,0.000874842
26,438.623,0.87243,0.45067,1.23046,0.96885,0.9424,0.97487,0.7287,0.93426,0.48973,1.30523,0.000841835,0.000841835,0.000841835
27,455.047,0.83194,0.41445,1.19656,0.99811,0.94215,0.98362,0.7527,0.91358,0.45015,1.27203,0.000808828,0.000808828,0.000808828
28,471.503,0.81269,0.40314,1.18994,0.97923,0.93664,0.96956,0.75234,0.87828,0.46371,1.26591,0.000775822,0.000775822,0.000775822
29,488.109,0.79446,0.3934,1.17134,0.9956,0.93939,0.97959,0.76133,0.8719,0.42647,1.25003,0.000742815,0.000742815,0.000742815
30,504.77,0.79951,0.38897,1.2004,0.99708,0.93908,0.97912,0.75386,0.87764,0.44068,1.25942,0.000709809,0.000709809,0.000709809
31,521.405,0.78258,0.37174,1.16397,0.97728,0.94789,0.98041,0.76882,0.85989,0.43854,1.24005,0.000676802,0.000676802,0.000676802
32,537.904,0.76195,0.36533,1.15262,0.99044,0.94215,0.97703,0.7766,0.82844,0.4128,1.22287,0.000643795,0.000643795,0.000643795
33,554.325,0.73555,0.35036,1.14406,0.98847,0.94456,0.98381,0.78066,0.82467,0.40755,1.20219,0.000610789,0.000610789,0.000610789
34,570.757,0.73218,0.35457,1.131,0.99237,0.9449,0.97901,0.78306,0.79401,0.43683,1.18601,0.000577782,0.000577782,0.000577782
35,587.41,0.71294,0.34011,1.11504,0.99316,0.94766,0.97765,0.78915,0.79209,0.4254,1.18737,0.000544776,0.000544776,0.000544776
36,603.831,0.71627,0.34963,1.12815,0.99436,0.97169,0.98734,0.78847,0.77089,0.37238,1.17607,0.000511769,0.000511769,0.000511769
